time (ps),RMSD to cluster 1 (nm)
5540.0,0.5832
5550.0,0.5997
5560.0,0.6248
5570.0,0.634
5580.0,0.6309
5590.0,0.6449
5600.0,0.6293
5610.0,0.6171
5620.0,0.6163
5630.0,0.6488
5640.0,0.6393
5650.0,0.6612
5660.0,0.6763
5670.0,0.6738
5680.0,0.6837
5690.0,0.7212
5700.0,0.68
5710.0,0.797
5720.0,0.6032
5730.0,0.603
5740.0,0.6285
5750.0,0.6352
5760.0,0.6036
5770.0,0.5961
5780.0,0.6298
5790.0,0.6173
5800.0,0.6219
5810.0,0.6251
5820.0,0.64
5830.0,0.6277
5840.0,0.608
5850.0,0.62
5860.0,0.8133
5870.0,0.8068
5880.0,0.8478
5890.0,0.9628
5900.0,0.9584
5910.0,0.8837
5920.0,0.671
5930.0,0.6669
5940.0,0.9599
5950.0,0.9776
5960.0,0.6683
5970.0,0.9383
5980.0,1.2761
5990.0,0.8629
6000.0,0.9044
6010.0,0.926
6020.0,0.941
6030.0,0.8713
6040.0,0.8887
6050.0,1.3994
6060.0,1.0184
6070.0,1.0171
6080.0,1.3626
6090.0,0.9769
6100.0,1.0403
6110.0,1.0444
6120.0,1.3759
6130.0,1.3507
6140.0,1.3706
6150.0,1.3174
6160.0,0.909
6170.0,0.9109
6180.0,0.9302
6190.0,1.137
6200.0,1.1247
6210.0,1.0832
6220.0,1.0963
6230.0,1.0248
6240.0,1.0072
6250.0,1.0545
6260.0,1.041
6270.0,1.2953
6280.0,1.2753
6290.0,1.2708
6300.0,1.0175
6310.0,1.0144
6320.0,1.0703
6330.0,1.2989
6340.0,1.3265
6350.0,1.3149
6360.0,1.3358
6370.0,1.027
6380.0,1.0285
6390.0,1.033
6400.0,0.8387
6410.0,0.8418
6420.0,0.6814
6430.0,1.3804
6440.0,1.3938
6450.0,0.8639
6460.0,0.6749
6470.0,0.6695
6480.0,0.6533
6490.0,0.6614
6500.0,0.6549
6510.0,0.669
6520.0,0.6383
6530.0,0.6573
6540.0,0.6619
6550.0,0.6562
6560.0,0.6635
6570.0,0.6946
6580.0,0.6688
6590.0,0.6301
6600.0,0.6864
6610.0,0.6696
6620.0,0.6783
6630.0,0.6278
6640.0,0.6284
6650.0,0.6119
6660.0,0.6183
6670.0,0.6195
6680.0,0.6
6690.0,0.6102
6700.0,0.5163
6710.0,0.5203
6720.0,0.5015
6730.0,0.4931
6740.0,0.4715
6750.0,0.6233
6760.0,0.6077
6770.0,0.6319
6780.0,0.6335
6790.0,0.4983
6800.0,0.5096
6810.0,0.6116
6820.0,0.6355
6830.0,0.6526
6840.0,0.6563
6850.0,0.4697
6860.0,0.4867
6870.0,0.6137
6880.0,0.52
6890.0,0.4883
6900.0,0.6436
6910.0,1.2426
6920.0,1.2215
6930.0,0.5328
6940.0,0.529
6950.0,0.5462
6960.0,0.5364
6970.0,0.4988
6980.0,0.4963
6990.0,0.5042
7000.0,1.2
7010.0,1.1865
7020.0,1.182
7030.0,1.2184
7040.0,1.193
7050.0,0.5749
7060.0,0.5844
7070.0,0.5858
7080.0,0.5873
7090.0,0.6096
7100.0,0.6284
7110.0,0.6569
7120.0,0.4825
7130.0,0.486
7140.0,0.691
7150.0,0.6934
7160.0,0.6523
7170.0,1.5029
7180.0,1.485
7190.0,1.4493
7200.0,1.4365
7210.0,0.597
7220.0,0.6094
7230.0,0.6142
7240.0,0.6045
7250.0,0.6034
7260.0,0.6606
7270.0,0.6683
7280.0,0.638
7290.0,0.6502
7300.0,1.3736
7310.0,0.6742
7320.0,0.628
7330.0,0.6606
7340.0,0.5991
7350.0,0.6218
7360.0,0.6441
7370.0,0.6371
7380.0,0.5002
7390.0,0.5302
7400.0,0.6413
7410.0,0.6556
7420.0,0.5731
7430.0,0.5617
7440.0,0.6366
7450.0,0.662
7460.0,0.6752
7470.0,0.8467
7480.0,0.8353
7490.0,0.5873
7500.0,0.5691
7510.0,0.6729
7520.0,0.6529
7530.0,0.6688
7540.0,0.6138
7550.0,0.6107
7560.0,0.6017
7570.0,0.5999
7580.0,0.646
7590.0,0.9045
7600.0,0.9303
7610.0,0.9645
7620.0,0.9313
7630.0,0.9232
7640.0,0.9861
7650.0,0.6446
7660.0,0.6218
7670.0,0.6082
7680.0,0.619
7690.0,0.6159
7700.0,0.6196
7710.0,0.6385
7720.0,0.5427
7730.0,0.658
7740.0,1.5427
7750.0,1.5682
7760.0,0.6034
7770.0,1.5338
7780.0,1.5887
7790.0,0.624
7800.0,0.6339
7810.0,0.6834
7820.0,0.6873
7830.0,0.664
7840.0,1.1023
7850.0,1.1004
7860.0,0.6495
7870.0,1.1529
7880.0,1.174
7890.0,1.1705
7900.0,0.5584
7910.0,0.5558
7920.0,0.5624
7930.0,0.5397
7940.0,0.5474
7950.0,0.6515
7960.0,0.6409
7970.0,0.6433
7980.0,0.6778
7990.0,0.5536
8000.0,0.5735
8010.0,0.5908
8020.0,0.5996
8030.0,0.5986
8040.0,0.5922
8050.0,1.3606
8060.0,1.3569
8070.0,0.8009
8080.0,1.3435
8090.0,1.3533
8100.0,1.3314
8110.0,0.5964
8120.0,0.5956
8130.0,0.8065
8140.0,0.8118
8150.0,0.7679
8160.0,0.5765
8170.0,0.5884
8180.0,0.5865
8190.0,0.5927
8200.0,0.5958
8210.0,0.5774
8220.0,0.5657
8230.0,0.5522
8240.0,0.5756
8250.0,1.3973
8260.0,1.2057
8270.0,1.2184
8280.0,1.2082
8290.0,0.5569
8300.0,0.5639
8310.0,0.551
8320.0,1.3075
8330.0,1.2877
8340.0,1.2903
8350.0,1.2725
8360.0,1.2801
8370.0,1.3097
8380.0,0.944
8390.0,0.9778
8400.0,1.3452
8410.0,0.907
8420.0,1.3759
8430.0,1.3852
8440.0,1.3855
8450.0,1.435
8460.0,1.4246
8470.0,1.3716
8480.0,1.3678
8490.0,1.33
8500.0,1.3622
8510.0,1.3575
8520.0,1.2869
8530.0,0.61
8540.0,0.6248
8550.0,1.25
8560.0,1.2213
8570.0,0.6456
8580.0,0.6373
8590.0,0.6226
8600.0,0.6405
8610.0,0.6327
8620.0,0.6281
8630.0,0.6292
8640.0,0.6269
8650.0,0.6274
8660.0,0.6249
8670.0,0.8332
8680.0,0.8473
8690.0,1.2433
8700.0,1.2645
8710.0,1.2523
8720.0,1.2432
8730.0,1.1819
8740.0,1.1668
8750.0,1.1544
8760.0,0.6587
8770.0,1.1795
8780.0,1.1998
8790.0,1.3161
8800.0,0.6958
8810.0,0.6828
8820.0,1.5234
8830.0,1.4911
8840.0,0.6854
8850.0,1.0646
8860.0,1.052
8870.0,1.032
8880.0,1.0628
8890.0,1.3729
8900.0,1.4044
8910.0,1.3432
8920.0,1.3624
8930.0,1.3751
8940.0,1.4477
8950.0,1.2527
8960.0,1.2427
8970.0,1.4707
8980.0,1.2857
8990.0,1.2503
9000.0,1.4769
9010.0,1.3061
9020.0,1.474
9030.0,1.4343
9040.0,1.3101
9050.0,0.9601
9060.0,1.3559
9070.0,0.9128
9080.0,1.3488
9090.0,1.108
9100.0,1.1196
9110.0,1.1119
9120.0,1.3811
9130.0,1.1295
9140.0,1.1189
9150.0,1.3414
9160.0,1.3641
9170.0,1.3495
9180.0,1.4272
9190.0,1.4723
9200.0,1.5131
9210.0,1.4579
9220.0,1.3686
9230.0,1.0732
9240.0,1.3572
9250.0,1.0234
9260.0,1.0074
9270.0,0.8746
9280.0,0.9834
9290.0,0.9758
9300.0,1.3045
9310.0,1.2781
9320.0,1.2814
9330.0,1.2561
9340.0,1.278
9350.0,1.2475
9360.0,0.9256
9370.0,0.9641
9380.0,0.8969
9390.0,0.8593
9400.0,0.9243
9410.0,0.9318
9420.0,0.9592
9430.0,0.9177
9440.0,0.9562
9450.0,0.9688
9460.0,0.9428
9470.0,0.9431
9480.0,0.9783
9490.0,0.9891
9500.0,0.9257
9510.0,0.7587
9520.0,0.815
9530.0,0.8566
9540.0,0.4549
9550.0,0.8188
9560.0,0.7394
9570.0,0.7891
9580.0,0.7455
9590.0,0.4879
9600.0,0.7648
9610.0,0.7645
9620.0,0.9014
9630.0,0.8856
9640.0,1.5677
9650.0,1.5959
9660.0,1.6089
9670.0,1.6485
9680.0,1.6228
9690.0,0.8593
9700.0,0.8713
9710.0,0.8684
9720.0,1.5758
9730.0,0.9643
9740.0,0.9486
9750.0,0.9229
9760.0,0.9087
9770.0,0.9143
9780.0,0.8969
9790.0,0.9124
9800.0,0.939
9810.0,0.4088
9820.0,0.3971
9830.0,0.8783
9840.0,0.3968
9850.0,0.8652
9860.0,0.8574
9870.0,0.8635
9880.0,0.5592
9890.0,0.541
9900.0,1.0977
9910.0,0.5521
9920.0,0.555
9930.0,1.0704
9940.0,1.0189
9950.0,1.0723
9960.0,0.9055
9970.0,0.898
9980.0,0.9005
9990.0,0.9151
10000.0,0.9044
10010.0,0.9351
10020.0,0.5457
10030.0,1.0562
10040.0,1.0388
10050.0,1.0068
10060.0,0.6668
10070.0,0.6689
10080.0,0.9883
10090.0,0.5429
10100.0,0.5324
10110.0,0.538
10120.0,0.537
10130.0,0.5172
10140.0,1.3172
10150.0,1.2926
10160.0,1.2734
10170.0,0.914
10180.0,0.8882
10190.0,0.8689
10200.0,0.916
10210.0,0.8756
10220.0,0.8678
10230.0,0.7427
10240.0,0.7622
10250.0,0.7345
10260.0,0.7334
10270.0,0.745
10280.0,0.7648
10290.0,1.3114
10300.0,1.2991
10310.0,1.2814
10320.0,0.8975
10330.0,0.7525
10340.0,0.7407
10350.0,0.7438
10360.0,0.4013
10370.0,0.3949
10380.0,1.3365
10390.0,1.344
10400.0,1.3376
10410.0,1.3851
10420.0,1.3369
10430.0,1.3451
10440.0,1.0583
10450.0,0.7174
10460.0,0.7402
10470.0,0.7504
10480.0,0.7689
10490.0,0.7777
10500.0,1.0758
10510.0,1.0389
10520.0,1.0658
10530.0,0.7457
10540.0,0.745
10550.0,1.0423
10560.0,0.7721
10570.0,0.7744
10580.0,0.7469
10590.0,0.7299
10600.0,0.7247
10610.0,0.9906
10620.0,1.0665
10630.0,1.0757
10640.0,0.5327
10650.0,0.5307
10660.0,0.9694
10670.0,0.9824
10680.0,1.0281
10690.0,1.0582
10700.0,1.0721
10710.0,1.0681
10720.0,0.5265
10730.0,0.5405
10740.0,1.0841
10750.0,0.542
10760.0,1.0854
10770.0,1.1596
10780.0,0.5236
10790.0,0.5132
10800.0,0.5347
10810.0,1.1374
10820.0,1.1656
10830.0,0.8077
10840.0,0.8197
10850.0,0.3734
10860.0,0.5476
10870.0,0.3626
10880.0,0.3939
10890.0,0.5536
10900.0,0.5565
10910.0,1.152
10920.0,1.1162
10930.0,1.1235
10940.0,1.1225
10950.0,0.5266
10960.0,1.1757
10970.0,0.5095
10980.0,1.2467
10990.0,1.2662
11000.0,1.3027
11010.0,0.5068
11020.0,1.2345
11030.0,0.5241
11040.0,0.7942
11050.0,0.8031
11060.0,0.7908
11070.0,0.7742
11080.0,0.7629
11090.0,0.5068
11100.0,0.5135
11110.0,0.49
11120.0,0.7825
11130.0,0.5054
