time (ps),RMSD to cluster 1 (nm)
4790.0,0.7553
4800.0,0.581
4810.0,0.7183
4820.0,0.6712
4830.0,0.6383
4840.0,0.6818
4850.0,0.683
4860.0,0.705
4870.0,0.6683
4880.0,0.7778
4890.0,0.7653
4900.0,0.7623
4910.0,0.6056
4920.0,0.6927
4930.0,0.5973
4940.0,0.5437
4950.0,0.5321
4960.0,0.7165
4970.0,0.7103
4980.0,0.6285
4990.0,0.5831
5000.0,0.6245
5010.0,0.5994
5020.0,0.6164
5030.0,0.6951
5040.0,0.6843
5050.0,0.7138
5060.0,0.6873
5070.0,0.6777
5080.0,0.68
5090.0,0.6896
5100.0,0.693
5110.0,0.6817
5120.0,0.5367
5130.0,0.5617
5140.0,0.6982
5150.0,0.7074
5160.0,0.7099
5170.0,0.7137
5180.0,0.7035
5190.0,0.6985
5200.0,0.6953
5210.0,0.7003
5220.0,0.6743
5230.0,0.7024
5240.0,0.6858
5250.0,0.7052
5260.0,0.7122
5270.0,0.7552
5280.0,0.8544
5290.0,0.7305
5300.0,0.7195
5310.0,0.7028
5320.0,0.7187
5330.0,0.7162
5340.0,0.9323
5350.0,0.9384
5360.0,0.7378
5370.0,0.736
5380.0,0.744
5390.0,0.9118
5400.0,0.8866
5410.0,0.8731
5420.0,0.8877
5430.0,0.7715
5440.0,0.7458
5450.0,0.727
5460.0,0.7611
5470.0,0.6125
5480.0,0.5839
5490.0,0.6129
5500.0,0.7753
5510.0,0.7883
5520.0,0.6163
5530.0,0.7767
5540.0,0.6192
5550.0,0.764
5560.0,0.7643
5570.0,0.7672
5580.0,0.3437
5590.0,0.3344
5600.0,0.341
5610.0,0.3507
5620.0,0.3459
5630.0,0.364
5640.0,0.6047
5650.0,0.5943
5660.0,0.5879
5670.0,0.5718
5680.0,0.5659
5690.0,0.5458
5700.0,0.7406
5710.0,0.7112
5720.0,0.7273
5730.0,0.7141
5740.0,0.9802
5750.0,0.8236
5760.0,0.81
5770.0,1.0094
5780.0,0.9203
5790.0,0.9455
5800.0,0.9263
5810.0,0.9329
5820.0,0.9181
5830.0,0.9056
5840.0,0.7667
5850.0,0.764
5860.0,0.7142
5870.0,0.8599
5880.0,0.8787
5890.0,0.8489
5900.0,0.8308
5910.0,1.0223
5920.0,0.8289
5930.0,0.6851
5940.0,0.4817
5950.0,0.4845
5960.0,0.5006
5970.0,0.8189
5980.0,0.6607
5990.0,0.6467
6000.0,1.0541
6010.0,1.0631
6020.0,1.0305
6030.0,0.4916
6040.0,1.0512
6050.0,0.5775
6060.0,1.1028
6070.0,1.0394
6080.0,1.0415
6090.0,0.5922
6100.0,0.6067
6110.0,0.6179
6120.0,0.5942
6130.0,0.5843
6140.0,0.5876
6150.0,0.7964
6160.0,0.7833
6170.0,0.7906
6180.0,0.8054
6190.0,0.5417
6200.0,0.543
6210.0,0.6505
6220.0,0.6762
6230.0,0.6796
6240.0,0.6886
6250.0,0.7792
6260.0,0.8562
6270.0,0.8708
6280.0,0.7676
6290.0,0.7815
6300.0,0.531
6310.0,0.5459
6320.0,0.5387
6330.0,0.792
6340.0,0.7844
6350.0,0.7799
6360.0,0.7658
6370.0,0.7743
6380.0,0.762
6390.0,0.7706
6400.0,0.7636
6410.0,0.9578
6420.0,0.9699
6430.0,0.9717
6440.0,0.9338
6450.0,0.9467
6460.0,0.8297
6470.0,0.9077
6480.0,0.8884
6490.0,0.8424
6500.0,0.8273
6510.0,0.8728
6520.0,0.8491
6530.0,0.5325
6540.0,0.795
6550.0,0.7842
6560.0,0.7784
6570.0,0.5567
6580.0,0.578
6590.0,0.5933
6600.0,0.8378
6610.0,0.5864
6620.0,0.5932
6630.0,0.752
6640.0,0.758
6650.0,0.6104
6660.0,0.752
6670.0,0.8426
6680.0,0.8472
6690.0,0.8281
6700.0,0.6412
6710.0,0.6195
6720.0,0.6182
6730.0,0.6058
6740.0,0.5947
6750.0,0.6016
6760.0,0.5916
6770.0,0.8409
6780.0,0.8441
6790.0,0.8637
6800.0,0.8515
6810.0,0.8678
6820.0,0.499
6830.0,0.5194
6840.0,0.5127
6850.0,0.5149
6860.0,0.5048
6870.0,0.514
6880.0,0.8776
6890.0,0.8623
6900.0,0.8832
6910.0,0.8705
6920.0,0.6163
6930.0,0.8349
6940.0,0.5569
6950.0,0.826
6960.0,0.4707
6970.0,0.8294
6980.0,0.825
6990.0,0.542
7000.0,0.5516
7010.0,0.5736
7020.0,0.5027
7030.0,0.5286
7040.0,0.5622
7050.0,0.5495
7060.0,0.568
7070.0,0.5994
7080.0,0.6161
7090.0,0.5197
7100.0,0.7159
7110.0,0.4876
7120.0,0.694
7130.0,0.7229
7140.0,1.0792
7150.0,1.0458
7160.0,0.793
7170.0,0.7825
7180.0,0.7702
7190.0,0.7847
7200.0,0.6992
7210.0,0.7172
7220.0,0.9997
7230.0,1.0023
7240.0,0.9829
7250.0,0.9247
7260.0,0.5421
7270.0,0.5397
7280.0,0.7672
7290.0,0.832
7300.0,0.8009
7310.0,0.816
7320.0,0.803
7330.0,0.7973
7340.0,0.8221
7350.0,0.8578
7360.0,0.8818
7370.0,0.7818
7380.0,0.9382
7390.0,0.7649
7400.0,0.7712
7410.0,0.9564
7420.0,0.973
7430.0,0.999
7440.0,0.8176
7450.0,0.8216
7460.0,0.8185
7470.0,1.0117
7480.0,1.0147
7490.0,0.7413
7500.0,0.7627
7510.0,0.7572
7520.0,0.7563
7530.0,0.755
7540.0,0.7537
7550.0,0.793
7560.0,0.8199
7570.0,0.8434
7580.0,0.7917
7590.0,0.7964
7600.0,0.7823
7610.0,0.7903
7620.0,0.7912
7630.0,0.8033
7640.0,0.7616
7650.0,0.814
7660.0,0.7609
7670.0,0.7579
7680.0,0.7642
7690.0,0.7769
7700.0,0.7749
7710.0,0.8037
7720.0,0.7829
7730.0,0.7997
7740.0,0.7967
7750.0,0.8137
7760.0,0.7806
7770.0,0.7828
7780.0,0.7971
7790.0,0.7901
7800.0,0.772
7810.0,0.787
7820.0,0.5074
7830.0,0.787
7840.0,0.7915
7850.0,0.5079
7860.0,0.5093
7870.0,0.7668
7880.0,0.7712
7890.0,0.7558
7900.0,0.77
7910.0,0.761
7920.0,0.5165
7930.0,0.5115
7940.0,0.5309
7950.0,0.5082
7960.0,0.5159
7970.0,0.5169
7980.0,0.5034
7990.0,0.5244
8000.0,0.4991
8010.0,0.8762
8020.0,0.8626
8030.0,0.8986
8040.0,0.4859
8050.0,0.8408
8060.0,0.8073
8070.0,0.5176
8080.0,0.8091
8090.0,0.8369
8100.0,0.8236
8110.0,0.8062
8120.0,0.8179
8130.0,0.7323
8140.0,0.7684
8150.0,0.8349
8160.0,0.7484
8170.0,0.7431
8180.0,0.7588
8190.0,0.835
8200.0,0.84
8210.0,0.5434
8220.0,0.5312
8230.0,0.5472
8240.0,0.5381
8250.0,0.5476
8260.0,0.517
8270.0,0.5426
8280.0,0.5627
8290.0,0.5379
8300.0,0.5537
8310.0,0.7701
8320.0,0.7674
8330.0,0.7823
8340.0,0.7801
8350.0,0.5636
8360.0,0.647
8370.0,0.6508
8380.0,0.5547
8390.0,0.5677
8400.0,0.6746
8410.0,0.6713
8420.0,0.5493
8430.0,0.5522
8440.0,0.6568
8450.0,0.6815
8460.0,0.6934
8470.0,0.6908
8480.0,0.6972
8490.0,0.7809
8500.0,0.7706
8510.0,0.6645
8520.0,0.6785
8530.0,0.8135
8540.0,0.8337
8550.0,0.545
8560.0,0.8397
8570.0,0.809
