time (ps),RMSD to cluster 1 (nm)
6010.0,0.4606
6020.0,0.4693
6030.0,0.3815
6040.0,0.3808
6050.0,0.9759
6060.0,0.8346
6070.0,0.8368
6080.0,0.9704
6090.0,0.5152
6100.0,0.555
6110.0,0.5705
6120.0,0.9959
6130.0,0.9735
6140.0,0.981
6150.0,0.9518
6160.0,0.4219
6170.0,0.4285
6180.0,0.4455
6190.0,0.6554
6200.0,0.6427
6210.0,0.624
6220.0,0.6401
6230.0,0.5117
6240.0,0.4913
6250.0,0.5508
6260.0,0.5452
6270.0,1.0571
6280.0,1.0451
6290.0,1.0262
6300.0,0.6119
6310.0,0.6057
6320.0,0.6404
6330.0,1.0425
6340.0,1.0752
6350.0,1.0806
6360.0,1.0757
6370.0,0.5236
6380.0,0.5317
6390.0,0.5305
6400.0,0.8561
6410.0,0.8679
6420.0,0.8202
6430.0,1.0961
6440.0,1.1179
6450.0,0.8952
6460.0,0.8084
6470.0,0.7949
6480.0,0.8044
6490.0,0.8067
6500.0,0.8273
6510.0,0.7056
6520.0,0.8136
6530.0,0.8386
6540.0,0.8365
6550.0,0.8427
6560.0,0.8363
6570.0,0.7169
6580.0,0.718
6590.0,0.4829
6600.0,0.7214
6610.0,0.703
6620.0,0.7056
6630.0,0.6918
6640.0,0.8159
6650.0,0.8007
6660.0,0.6704
6670.0,0.6833
6680.0,0.6889
6690.0,0.6942
6700.0,0.6638
6710.0,0.6405
6720.0,0.6455
6730.0,0.6329
6740.0,0.6502
6750.0,0.778
6760.0,0.785
6770.0,0.7934
6780.0,0.7854
6790.0,0.6441
6800.0,0.6256
6810.0,0.802
6820.0,0.8038
6830.0,0.6979
6840.0,0.7148
6850.0,0.6196
6860.0,0.6058
6870.0,0.7814
6880.0,0.6181
6890.0,0.6168
6900.0,0.727
6910.0,0.7575
6920.0,0.743
6930.0,0.535
6940.0,0.5217
6950.0,0.5242
6960.0,0.5055
6970.0,0.632
6980.0,0.6378
6990.0,0.6389
7000.0,0.768
7010.0,0.7615
7020.0,0.7623
7030.0,0.7911
7040.0,0.7461
7050.0,0.6914
7060.0,0.7009
7070.0,0.6973
7080.0,0.7228
7090.0,0.7236
7100.0,0.7133
7110.0,0.7149
7120.0,0.6304
7130.0,0.6463
7140.0,0.7388
7150.0,0.7329
7160.0,0.6988
7170.0,1.0798
7180.0,1.073
7190.0,1.0421
7200.0,1.0181
7210.0,0.7076
7220.0,0.7135
7230.0,0.7043
7240.0,0.6936
7250.0,0.7102
7260.0,0.7288
7270.0,0.7408
7280.0,0.7238
7290.0,0.7139
7300.0,0.9457
7310.0,0.7123
7320.0,0.6967
7330.0,0.5014
7340.0,0.5022
7350.0,0.4835
7360.0,0.5122
7370.0,0.6863
7380.0,0.6258
7390.0,0.6332
7400.0,0.7153
7410.0,0.7264
7420.0,0.6853
7430.0,0.6856
7440.0,0.7175
7450.0,0.732
7460.0,0.7425
7470.0,0.5677
7480.0,0.5768
