time (ps),RMSD to cluster 1 (nm)
4440.0,1.0206
4450.0,0.7122
4460.0,0.7259
4470.0,0.7734
4480.0,0.7605
4490.0,0.7548
4500.0,0.6887
4510.0,0.7003
4520.0,0.7254
4530.0,0.7137
4540.0,0.7285
4550.0,0.7239
4560.0,0.7208
4570.0,0.6926
4580.0,0.7181
4590.0,0.7722
4600.0,0.7232
4610.0,0.7326
4620.0,0.7248
4630.0,0.7898
4640.0,0.8241
4650.0,1.3214
4660.0,1.3714
4670.0,1.3267
4680.0,0.7664
4690.0,0.7407
4700.0,1.1815
4710.0,0.7972
4720.0,1.1894
4730.0,1.188
4740.0,1.169
4750.0,0.5761
4760.0,0.5855
4770.0,0.6852
4780.0,1.1278
4790.0,0.7052
4800.0,1.1115
4810.0,0.6
4820.0,1.2179
4830.0,1.1591
4840.0,1.1848
4850.0,1.1798
4860.0,0.5904
4870.0,1.1347
4880.0,0.6826
4890.0,0.6679
4900.0,0.6757
4910.0,1.0728
4920.0,0.5762
4930.0,1.0365
4940.0,0.9821
4950.0,0.9831
4960.0,0.5718
4970.0,0.5686
4980.0,0.949
4990.0,1.0161
5000.0,1.0863
5010.0,1.0501
5020.0,1.0515
5030.0,0.6085
5040.0,0.6001
5050.0,0.5859
5060.0,0.5973
5070.0,0.5934
5080.0,0.5969
5090.0,0.6108
5100.0,0.6207
5110.0,0.6056
5120.0,0.5637
5130.0,0.5785
5140.0,0.6184
5150.0,0.6345
5160.0,0.618
5170.0,0.6397
5180.0,0.6408
5190.0,0.7469
5200.0,0.6227
5210.0,0.6365
5220.0,0.6463
5230.0,0.6565
5240.0,0.651
5250.0,0.6466
5260.0,0.6324
5270.0,0.7827
5280.0,1.0587
5290.0,0.6155
5300.0,0.6171
5310.0,0.6219
5320.0,0.6138
5330.0,0.6097
5340.0,1.1013
5350.0,1.1252
5360.0,0.8243
5370.0,0.8073
5380.0,0.8358
5390.0,1.1056
5400.0,1.105
5410.0,1.0858
5420.0,1.1079
5430.0,0.6151
5440.0,1.095
5450.0,1.0901
5460.0,1.113
5470.0,0.6169
5480.0,0.6117
5490.0,0.6249
5500.0,0.7039
5510.0,0.7011
5520.0,0.6652
5530.0,0.6846
5540.0,0.6509
5550.0,0.814
5560.0,0.8303
5570.0,0.8243
5580.0,0.8359
5590.0,0.8306
5600.0,0.819
5610.0,0.8088
5620.0,0.8402
5630.0,0.8803
5640.0,0.5919
5650.0,0.598
5660.0,0.5947
5670.0,0.5974
5680.0,0.59
5690.0,0.5869
5700.0,0.9025
5710.0,0.8767
5720.0,0.8772
5730.0,0.8516
5740.0,1.3965
5750.0,0.7538
5760.0,0.7566
5770.0,1.3966
5780.0,1.3239
5790.0,1.3447
5800.0,1.3114
5810.0,1.294
5820.0,1.2841
5830.0,1.2611
5840.0,0.9643
5850.0,1.004
5860.0,0.9546
5870.0,0.8503
5880.0,0.8514
5890.0,0.8363
5900.0,0.8121
5910.0,1.3581
5920.0,0.8043
5930.0,0.9993
5940.0,0.9554
5950.0,0.9642
5960.0,0.9742
5970.0,0.8125
5980.0,0.9261
5990.0,0.9056
6000.0,1.3764
6010.0,1.35
6020.0,1.3492
6030.0,0.9423
6040.0,1.3606
6050.0,0.4587
6060.0,1.3916
6070.0,1.3294
6080.0,1.3283
6090.0,0.4678
6100.0,0.9371
6110.0,0.9492
6120.0,0.9234
6130.0,0.9155
6140.0,0.9179
6150.0,0.7788
6160.0,0.773
6170.0,0.7659
6180.0,0.7794
6190.0,0.4596
6200.0,0.4646
6210.0,0.9976
6220.0,1.0203
6230.0,0.9888
6240.0,1.0223
6250.0,0.7402
6260.0,0.8267
6270.0,0.8299
6280.0,0.7346
6290.0,0.75
6300.0,0.4708
6310.0,0.4727
6320.0,0.4397
6330.0,0.7576
6340.0,0.7336
6350.0,0.7371
6360.0,0.7103
6370.0,0.709
6380.0,0.695
6390.0,0.7158
6400.0,0.7119
6410.0,1.3852
6420.0,1.3802
6430.0,1.3711
6440.0,1.3173
6450.0,1.3308
6460.0,0.7882
6470.0,1.2623
6480.0,1.2334
6490.0,1.2268
6500.0,1.1898
6510.0,1.2717
6520.0,1.2522
6530.0,0.7366
6540.0,1.1541
6550.0,1.1301
6560.0,1.1253
6570.0,0.7816
6580.0,0.7801
6590.0,0.8202
6600.0,1.1844
6610.0,0.8275
6620.0,0.858
6630.0,0.7091
6640.0,0.6963
6650.0,0.7007
6660.0,0.6946
6670.0,0.842
6680.0,0.8501
6690.0,0.8314
6700.0,0.7009
6710.0,0.6937
6720.0,0.6889
6730.0,0.7066
6740.0,0.7019
6750.0,0.7169
6760.0,0.6966
6770.0,0.851
6780.0,0.8647
6790.0,0.8369
6800.0,0.839
6810.0,0.8414
6820.0,0.8031
6830.0,0.4802
6840.0,0.4798
6850.0,0.4889
6860.0,0.465
6870.0,0.4938
6880.0,0.876
6890.0,0.8694
6900.0,0.8743
6910.0,0.8558
6920.0,1.052
6930.0,0.8278
6940.0,0.9881
6950.0,0.8066
6960.0,0.9457
6970.0,0.7985
6980.0,0.7945
6990.0,0.9888
7000.0,0.9948
7010.0,1.0186
7020.0,0.9572
7030.0,0.9887
7040.0,0.9969
7050.0,0.9776
7060.0,0.9953
7070.0,1.0093
7080.0,1.0199
7090.0,0.8254
7100.0,1.1491
7110.0,0.7461
7120.0,1.1352
7130.0,1.1459
7140.0,1.3167
7150.0,1.3121
7160.0,1.1994
7170.0,1.1899
7180.0,1.1812
7190.0,1.1943
7200.0,1.0824
7210.0,1.1154
7220.0,1.2896
7230.0,1.2906
7240.0,1.2753
7250.0,1.2577
7260.0,0.4944
7270.0,0.4931
7280.0,0.7757
7290.0,1.2055
7300.0,1.1404
7310.0,1.1527
7320.0,1.1303
7330.0,1.1534
7340.0,1.1762
7350.0,1.1657
7360.0,1.2163
7370.0,0.7686
7380.0,1.2631
7390.0,0.7229
7400.0,0.7057
7410.0,1.2518
7420.0,1.2692
7430.0,1.3093
7440.0,0.7966
7450.0,0.7695
7460.0,0.7729
7470.0,1.3155
7480.0,1.3057
7490.0,0.9911
7500.0,1.0257
7510.0,1.0243
7520.0,1.0216
7530.0,0.997
7540.0,0.9933
7550.0,1.0963
7560.0,1.1201
7570.0,1.1806
7580.0,0.7718
7590.0,0.7364
7600.0,0.7545
7610.0,0.7544
7620.0,1.0105
7630.0,1.0129
7640.0,1.0052
7650.0,0.7858
7660.0,0.6987
7670.0,0.693
7680.0,0.7295
7690.0,0.7449
7700.0,0.741
7710.0,0.7731
7720.0,0.7365
7730.0,0.7772
7740.0,0.7672
7750.0,0.7847
7760.0,0.7612
7770.0,0.7669
7780.0,0.9514
7790.0,0.9611
7800.0,0.7555
